Variant,Throughput,Collisions,Fairness
Full DQN (V+P),17.3,37.05,0.9120583037751664
No Vision,19.9,51.983333333333334,0.9373775421534866
No Priority,17.966666666666665,41.53333333333333,0.9213196585384192
Constrained Only,17.9,50.166666666666664,0.9096746180700059
